List Name,Card Name,Card Description,Labels
"Yüksek Öncelik","Dosya Yükleme İçerik Doğrulama Sıkılaştırma","Multer fileFilter'ları istemci beyanına ek olarak dosyanın gerçek baytlarını (magic number) doğrulasın; kaydedilen uzantı istemci dosya adından değil doğrulanmış MIME tipinden türetilsin; /uploads statik rotasına X-Content-Type-Options: nosniff ve Content-Disposition başlıkları eklensin.

Dayanak: routes/workOrders.js:21-39, routes/isg.js:27-46, routes/users.js:23-40 — fileFilter yalnızca istemcinin gönderdiği (sahte olabilecek) Content-Type'a bakıyor, uzantı whitelist'i yok; .html/.svg gibi dosyalar image/* beyanıyla yüklenip express.static üzerinden servis edilebilir.
Öncelik: Yüksek
Tahmini Efor: Orta (3-5 gün)","Güvenlik, Efor: Orta"
"Orta Öncelik","Merkezi Hata Yönetimi ve Prodüksiyon Sertleştirmesi","server.js'in sonuna global bir Express error-handling middleware eklensin (stack trace'i asla client'a döndürmeyen); Railway dağıtım ortamında NODE_ENV=production açıkça set edilsin ve kodda doğrulansın.

Dayanak: server.js içinde global error handler yok, NODE_ENV proje genelinde hiç referans edilmiyor (grep sonucu sıfır) — yakalanmayan hatalarda (ör. bozuk JSON body) Express'in varsayılan handler'ı stack trace döndürebilir.
Öncelik: Orta
Tahmini Efor: Küçük (1-2 gün)","Güvenlik, Efor: Küçük"
"Yüksek Öncelik","KVKK Uyum Modülü (Veri Saklama Politikası + Veri Silme Talebi)","Kullanıcıya (veya yöneticiye onun adına) kişisel verilerinin (fotoğraflar, konum geçmişi, sohbet logları) neler olduğunu gösteren ve silme talebi başlatabileceği bir ekran; arka planda talep onaylandığında ilişkili fotoğraf dosyalarını diskten silen/anonimleştiren bir iş akışı; aydınlatma metni ekranı.

Dayanak: database.js şeması (ad, telefon, e-posta, fotoğraflar, GPS, cihaz telemetrisi, sohbet logları toplanıyor); kod genelinde kvkk/gdpr/retention için sıfır eşleşme; routes/users.js:424-449 sadece is_active=0 soft-delete yapıyor, fs.unlink hiç çağrılmıyor — dosyalar kalıcı olarak diskte kalıyor.
Öncelik: Yüksek
Tahmini Efor: Büyük (1 haftadan fazla)","Güvenlik, Efor: Büyük"
"Orta Öncelik","Otomatik Dosya Temizleme / Orphan Upload Purge Job","Kullanıcı/iş emri/İSG kaydı deaktive edildiğinde veya belirlenen bir saklama süresi (ör. 2 yıl) dolduğunda ilişkili yüklenmiş dosyaları diskten temizleyen zamanlanmış bir görev. KVKK Uyum Modülü'nün teknik alt bileşeni, ama tek başına da devreye alınabilir.

Dayanak: Proje genelinde fs.unlink/fs.rm grep sonucu sıfır — hiçbir kod yolu yüklenmiş fotoğrafları silmiyor.
Öncelik: Orta
Tahmini Efor: Küçük (1-2 gün)","Güvenlik, Efor: Küçük"
"Orta Öncelik","Merkezi Güvenlik/Denetim Logu Paneli","Yönetici rolü için, hangi kullanıcının ne zaman hangi state-changing işlemi (giriş, rol değişikliği, iş emri atama, malzeme silme, cihaz uzaktan silme vb.) yaptığını gösteren merkezi bir log görüntüleme ekranı — bazı modüllerde (cihaz yönetimi, kullanıcı işlemleri) kayıt zaten tutuluyor, bunları tek ekranda birleştir.

Dayanak: RBAC taraması sırasında modüllere dağılmış denetim kayıtları görüldü (routes/devices.js, routes/users.js) ama merkezi bir görünüm yok.
Öncelik: Orta
Tahmini Efor: Orta (3-5 gün)","Güvenlik, Efor: Orta"
"Orta Öncelik","Yönetici Hesapları İçin İki Faktörlü Kimlik Doğrulama (2FA)","yonetici rolündeki hesaplar için girişte SMS/e-posta OTP veya TOTP tabanlı ikinci faktör eklensin — en yüksek yetkiye sahip hesaplar brute-force/token çalınması senaryolarında ekstra korumaya sahip olsun.

Dayanak: Rate limiting eksikliği (madde 8) ve düz metin token saklama (madde 9) bulgularına karşı savunma derinliği katmanı olarak önerildi.
Öncelik: Orta
Tahmini Efor: Orta (3-5 gün)","Güvenlik, Efor: Orta"
"Orta Öncelik","CI/CD Bağımlılık Güvenlik Taraması","Backend için npm audit --audit-level=high, ML servisi için pip-audit, Flutter için flutter pub outdated/Dependabot; bunları GitHub Actions'a (veya mevcut Railway deploy akışına) bir gate olarak ekle.

Dayanak: .github/workflows yok (proje kökünde), .railway/ dizini boş, Dependabot/Snyk hiçbir pipeline'a bağlı değil — deploy Railway'in git-push otomasyonuyla CI gate'siz yapılıyor.
Öncelik: Orta
Tahmini Efor: Küçük (1-2 gün)","Güvenlik, Efor: Küçük"
"Düşük Öncelik","ML Servisi Bağımlılık Sabitleme","arassaha-ml/requirements.txt'teki tensorflow dışındaki tüm paketler (fastapi, uvicorn, scikit-learn, pandas, numpy, pillow vb.) == ile pinlensin ve bir lockfile (pip-compile) eklensin.

Dayanak: requirements.txt'te sadece tensorflow==2.18.0 pinlenmiş, geri kalan tüm paketler pin'siz — her Docker build'de rastgele en güncel (ve potansiyel olarak kırık/güvensiz) sürüm çekilebilir.
Öncelik: Düşük
Tahmini Efor: Küçük (1-2 gün)","Güvenlik, Efor: Küçük"
"Düşük Öncelik","Malzeme Kullanım Kaydı Sahiplik Kontrolü","POST /api/workorders/:workOrderId/materials şu an herhangi bir teknisyenin kendisine atanmamış bir iş emrine malzeme kaydı işlemesine izin veriyor. En azından işlemi yapan kullanıcının kimliği/rolü kayda daha belirgin şekilde düşürülsün ya da atanmamış iş emirlerinde bir uyarı/onay adımı eklensin.

Dayanak: routes/materials.js:371 (verifyToken only, bilinçli tasarım kararı olarak yorumlanmış: 'sahada malzemeyi kullanan kişi odur') — küçük ama gerçek bir BOLA/denetlenebilirlik riski.
Öncelik: Düşük
Tahmini Efor: Küçük (1-2 gün)","Güvenlik, Efor: Küçük"
"Orta Öncelik","JWT Süresi Kısaltma + Refresh Token Mekanizması","Access token ömrü 7 günden 1-2 saate indirilsin; kullanıcı deneyimini bozmadan oturumu canlı tutmak için ayrı, daha uzun ömürlü ve flutter_secure_storage'da saklanan bir refresh token akışı eklensin.

Dayanak: routes/auth.js:12-45 — jwt.sign expiresIn: '7d', hiçbir refresh/revoke mekanizması yok; çalınan bir token bir hafta boyunca geçerli kalıyor.
Öncelik: Orta
Tahmini Efor: Orta (3-5 gün)","Güvenlik, Efor: Orta"
